,H,Sxy
141,1.2702702702702702,-747870.4507954547
142,1.2792792792792793,-746312.0609913965
143,1.2882882882882882,-744793.6297826797
144,1.2972972972972974,-746189.2098653844
145,1.3063063063063063,-754272.3072070897
146,1.3153153153153152,-762413.725232475
147,1.3243243243243243,-770613.8482901526
148,1.3333333333333333,-758702.203208837
149,1.3423423423423424,-760230.81349785
150,1.3513513513513513,-758167.9199286653
151,1.3603603603603605,-756628.5925742064
152,1.3693693693693694,-753655.9085798942
153,1.3783783783783783,-750706.074392612
154,1.3873873873873874,-762381.2142562746
155,1.3963963963963963,-774423.8946289765
156,1.4054054054054055,-779159.0034462017
157,1.4144144144144144,-765370.0877029008
158,1.4234234234234233,-757388.1120227783
159,1.4324324324324325,-753582.6208886007
160,1.4414414414414414,-749896.3367445463
