,H,Sxx
144,1.2972972972972974,1049311.3658696113
145,1.3063063063063063,1038799.4925935619
146,1.3153153153153152,1028483.1210100326
147,1.3243243243243243,1018357.1909491749
148,1.3333333333333333,1006234.2000502839
149,1.3423423423423424,994408.9876536657
150,1.3513513513513513,983036.6152867862
151,1.3603603603603605,971878.6874412218
152,1.3693693693693694,960795.596150858
153,1.3783783783783783,949759.3280197694
154,1.3873873873873874,938213.6300658567
155,1.3963963963963963,926925.278992351
156,1.4054054054054055,915886.393708065
157,1.4144144144144144,905098.7890894149
158,1.4234234234234233,894558.5765381578
159,1.4324324324324325,884838.1575487922
160,1.4414414414414414,876044.2083106082
161,1.4504504504504505,867338.5790060099
162,1.4594594594594594,858836.5044262168
163,1.4684684684684683,850944.9759780397
164,1.4774774774774775,843185.1760951165
